,region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,custcat
83,2,31,53,0,2,351.0,3,31,0.0,1,1,3
84,2,45,52,1,4,169.0,4,29,0.0,1,4,2
85,2,33,27,1,7,46.0,2,7,0.0,0,4,1
86,1,10,26,0,6,34.0,3,3,0.0,0,1,2
87,2,62,54,1,2,50.0,4,3,0.0,0,2,4
88,2,4,35,0,16,161.0,5,6,0.0,1,1,4
89,1,42,47,1,17,212.0,4,17,0.0,0,2,3
90,3,27,51,1,3,80.0,5,11,0.0,0,3,2
91,2,38,42,0,1,30.0,4,7,0.0,1,1,1
92,3,52,61,1,3,53.0,5,1,0.0,1,2,2
93,3,35,33,0,9,73.0,5,4,0.0,1,1,4
94,3,3,20,1,1,17.0,2,0,0.0,1,4,1
95,2,17,33,0,9,23.0,5,3,0.0,0,1,4
96,1,55,53,1,21,34.0,1,8,0.0,0,2,3
97,3,43,36,1,5,107.0,1,19,0.0,1,3,2
98,2,47,25,1,5,21.0,1,1,0.0,1,2,3
99,3,65,58,0,30,83.0,2,16,0.0,1,1,2
100,1,13,20,0,1,17.0,3,0,0.0,0,5,4
101,3,64,25,1,4,76.0,3,2,0.0,1,6,3
102,2,12,24,0,2,19.0,1,0,0.0,0,1,3
103,1,29,32,1,0,49.0,4,3,0.0,1,3,2
104,2,23,47,0,21,173.0,3,22,0.0,1,1,2
105,2,14,35,0,4,47.0,3,10,0.0,1,1,2
106,1,35,61,0,23,41.0,2,11,0.0,0,1,1
107,3,26,39,0,8,105.0,3,13,0.0,1,1,4
108,1,13,54,0,2,31.0,4,2,0.0,0,1,1
109,2,69,40,1,13,41.0,2,17,0.0,0,3,2
110,3,61,50,1,30,102.0,4,9,0.0,1,3,2
111,2,45,22,1,2,36.0,4,0,0.0,1,5,2
112,2,3,37,0,13,24.0,1,3,0.0,1,1,1
113,2,53,22,0,1,25.0,4,0,0.0,0,2,2
114,1,59,42,0,1,68.0,2,21,0.0,1,1,3
115,1,13,34,0,11,20.0,3,0,0.0,1,1,1
116,3,31,31,0,4,48.0,1,15,0.0,0,1,3
117,1,40,29,1,6,40.0,2,8,0.0,1,5,3
118,1,48,55,0,15,79.0,1,25,0.0,0,1,3
119,3,3,31,0,1,28.0,1,0,0.0,0,1,1
120,2,51,48,0,12,64.0,2,22,0.0,1,1,1
121,3,33,41,0,15,37.0,2,11,0.0,0,1,1
122,3,14,47,1,7,48.0,1,13,0.0,0,2,1
123,1,17,42,1,6,131.0,5,6,0.0,0,3,2
124,3,19,29,1,9,18.0,2,2,0.0,0,3,1
125,2,58,36,0,10,38.0,2,14,0.0,1,1,2
126,3,22,23,0,3,37.0,2,4,0.0,1,3,4
127,2,29,31,1,1,60.0,4,6,0.0,0,5,2
128,3,14,22,1,2,13.0,3,0,0.0,1,4,2
129,2,70,64,1,18,98.0,1,31,0.0,1,2,4
130,1,62,52,1,2,195.0,1,23,0.0,0,2,3
131,2,7,35,1,0,47.0,1,14,0.0,0,5,1
132,1,56,47,1,19,65.0,2,22,0.0,0,3,4
133,1,50,50,1,22,150.0,5,5,0.0,1,4,2
134,2,57,39,0,6,106.0,5,8,0.0,0,1,3
135,3,2,40,0,19,51.0,4,14,0.0,1,1,1
136,2,40,38,0,17,96.0,4,0,0.0,1,1,1
137,2,6,43,0,4,33.0,5,7,0.0,0,2,3
138,3,23,25,1,6,38.0,2,1,0.0,1,3,3
139,3,11,32,0,6,125.0,4,5,0.0,0,1,4
140,1,29,37,1,13,145.0,5,0,0.0,1,4,4
141,1,42,44,1,2,99.0,2,21,0.0,0,3,3
142,1,20,34,1,2,22.0,4,0,0.0,1,3,4
143,2,72,60,1,21,31.0,1,38,1.0,0,2,2
144,1,2,36,0,3,25.0,1,6,0.0,1,1,3
145,3,46,25,0,5,57.0,5,0,0.0,1,2,1
146,2,39,51,1,21,41.0,5,20,0.0,0,6,4
147,3,24,25,1,1,20.0,3,1,0.0,1,2,2
148,3,59,43,1,4,101.0,2,22,0.0,1,5,2
149,1,65,37,0,8,56.0,2,15,0.0,0,1,2
150,2,50,27,1,5,22.0,2,5,0.0,1,3,1
151,1,57,37,0,11,108.0,4,9,0.0,1,1,3
152,3,61,48,0,14,115.0,4,20,0.0,1,1,4
153,3,34,54,0,31,53.0,4,22,0.0,0,1,4
154,3,38,53,0,13,242.0,4,12,0.0,0,1,4
155,1,3,24,1,2,20.0,2,3,0.0,1,5,3
156,2,4,47,0,5,123.0,4,11,0.0,0,1,1
157,2,15,35,0,0,34.0,1,12,0.0,0,1,1
158,1,25,29,1,8,31.0,4,3,0.0,1,5,2
159,3,21,44,0,25,47.0,1,12,0.0,1,2,3
160,3,50,37,1,11,48.0,3,8,0.0,1,2,3
161,2,65,64,1,22,13.0,2,5,1.0,1,3,3
162,2,59,52,1,18,78.0,1,25,0.0,0,2,1
163,3,29,26,0,7,34.0,1,7,0.0,1,2,3
164,1,60,46,0,17,81.0,5,9,0.0,1,1,2
165,1,71,45,1,14,86.0,2,25,0.0,0,2,2
166,3,38,27,1,0,26.0,4,2,0.0,0,4,4
167,3,16,34,1,5,51.0,2,8,0.0,1,5,1
168,3,7,31,0,10,59.0,3,10,0.0,0,1,1
169,1,59,53,0,21,112.0,4,16,0.0,0,1,2
170,2,22,56,1,14,57.0,4,28,0.0,0,2,4
171,1,18,48,1,20,41.0,1,2,0.0,1,2,1
172,2,64,46,1,19,168.0,2,26,0.0,1,2,4
173,2,7,33,0,4,29.0,4,4,0.0,1,3,1
174,3,65,58,0,13,167.0,2,14,0.0,1,2,2
175,3,7,24,0,5,29.0,2,3,0.0,0,3,1
176,1,64,55,0,28,104.0,1,26,0.0,1,1,3
177,3,42,22,1,0,46.0,4,0,0.0,0,2,4
178,3,33,26,0,5,46.0,4,1,0.0,1,3,4
179,1,3,33,0,8,51.0,4,0,0.0,1,1,1
180,2,69,42,1,11,65.0,2,18,0.0,0,2,4
181,2,9,33,0,1,48.0,2,13,0.0,0,2,1
182,3,22,34,1,1,46.0,3,1,0.0,0,4,2
183,2,53,63,1,15,43.0,2,18,0.0,0,2,2
184,3,71,53,0,30,110.0,1,34,0.0,0,1,2
185,3,24,26,0,2,32.0,3,2,0.0,0,3,1
186,3,12,22,1,1,18.0,3,0,0.0,1,2,1
187,1,25,39,1,1,26.0,4,0,0.0,0,4,2
188,3,63,28,1,9,34.0,2,10,0.0,1,6,3
189,1,33,54,1,18,57.0,4,4,0.0,1,3,3
190,2,57,54,1,20,21.0,2,0,0.0,1,3,1
191,3,13,33,0,7,38.0,3,10,0.0,1,1,4
192,1,13,21,0,2,19.0,3,0,0.0,1,1,2
193,1,71,39,0,2,40.0,3,17,0.0,0,1,3
194,3,18,69,1,11,58.0,3,8,0.0,0,2,4
195,1,17,51,1,10,95.0,2,15,0.0,1,2,1
196,2,22,43,0,4,114.0,2,19,0.0,0,1,1
197,2,65,65,1,27,128.0,3,24,0.0,0,2,3
198,3,7,40,0,9,33.0,4,2,0.0,1,1,1
199,3,72,66,0,30,460.0,4,41,0.0,1,1,4
200,1,35,43,0,12,224.0,3,17,0.0,0,1,1
201,1,24,39,0,2,122.0,4,12,0.0,0,3,4
202,1,64,24,1,0,23.0,3,1,0.0,1,5,2
203,2,63,63,1,19,191.0,3,27,0.0,0,2,2
204,1,38,31,1,7,187.0,4,6,0.0,0,3,4
205,2,29,37,1,9,119.0,3,12,0.0,0,3,1
206,1,72,69,1,49,44.0,2,44,1.0,1,2,3
207,1,10,27,1,2,15.0,3,2,0.0,1,2,4
208,3,72,64,0,41,674.0,4,37,0.0,1,1,3
209,3,52,23,1,4,33.0,4,0,0.0,1,2,3
210,3,13,55,0,3,250.0,2,35,0.0,1,2,1
211,1,3,33,0,6,64.0,4,0,0.0,0,2,1
212,3,39,24,1,2,26.0,2,4,0.0,0,4,1
213,2,28,29,0,4,23.0,3,5,0.0,0,2,2
214,2,46,42,0,9,52.0,4,7,0.0,0,3,2
215,2,62,46,0,27,200.0,3,9,0.0,1,1,1
216,2,23,33,1,7,28.0,1,4,0.0,0,2,3
217,3,23,25,1,5,19.0,5,0,0.0,0,3,4
218,2,72,61,1,39,76.0,3,21,0.0,0,2,4
219,3,56,60,0,26,70.0,2,20,0.0,0,1,1
220,1,8,30,0,1,34.0,2,9,0.0,1,1,3
221,3,3,36,0,7,34.0,5,3,0.0,1,3,4
222,3,37,37,0,7,172.0,3,13,0.0,0,1,1
223,3,37,53,1,13,48.0,1,10,0.0,0,3,3
224,2,6,30,0,9,45.0,2,2,0.0,1,1,1
225,1,48,47,0,9,72.0,3,13,0.0,0,5,4
226,2,43,43,1,3,55.0,4,18,0.0,1,4,4
227,2,21,29,0,7,40.0,4,2,0.0,1,4,1
228,3,6,33,0,12,26.0,3,0,0.0,0,1,3
229,2,69,51,0,18,96.0,1,33,0.0,0,4,3
230,1,22,33,0,9,54.0,1,10,0.0,0,1,3
231,1,28,40,1,1,47.0,2,9,0.0,1,3,3
232,1,71,47,1,23,142.0,1,30,0.0,0,2,2
233,2,7,37,0,5,57.0,4,1,0.0,0,1,1
234,1,63,29,0,10,20.0,3,7,0.0,0,2,4
235,2,53,57,0,25,37.0,1,7,0.0,0,1,2
236,2,50,52,1,17,36.0,4,16,0.0,0,4,4
237,2,39,31,1,6,24.0,4,2,0.0,0,2,4
238,3,16,19,0,0,21.0,2,0,0.0,1,1,1
239,3,43,51,1,15,186.0,3,25,0.0,0,2,4
240,3,44,31,0,12,30.0,1,7,0.0,1,3,1
241,2,72,66,1,43,96.0,2,16,0.0,1,2,4
242,3,61,76,0,39,15.0,1,29,1.0,0,1,3
243,3,43,21,1,1,25.0,1,4,0.0,0,4,2
244,3,24,39,0,11,49.0,3,7,0.0,1,1,1
245,3,64,45,0,4,38.0,2,7,0.0,1,1,3
246,2,64,38,0,0,29.0,2,2,0.0,0,2,2
247,1,24,26,0,7,55.0,2,7,0.0,1,1,1
248,3,33,55,1,21,64.0,3,10,0.0,1,3,1
249,2,33,33,1,12,42.0,4,7,0.0,1,5,2
250,1,2,40,0,9,134.0,4,2,0.0,0,1,1
251,2,42,48,1,22,82.0,1,21,0.0,1,5,4
252,1,52,54,1,5,153.0,5,10,0.0,0,2,2
253,1,45,66,0,43,144.0,2,13,0.0,1,1,2
254,3,3,25,0,4,22.0,4,0,0.0,0,2,4
255,2,37,53,1,16,35.0,1,16,0.0,1,4,3
256,2,28,57,0,33,82.0,4,22,0.0,1,1,2
257,3,40,63,1,9,61.0,1,22,0.0,0,2,1
258,2,37,33,0,1,102.0,2,12,0.0,0,1,4
259,3,7,27,0,5,31.0,3,4,0.0,0,5,4
260,1,71,56,0,23,170.0,1,30,0.0,1,1,4
261,2,19,46,0,11,26.0,2,0,0.0,1,1,1
262,2,61,40,0,15,85.0,3,15,0.0,1,1,3
263,3,70,53,1,16,183.0,2,35,0.0,1,2,2
264,2,60,55,1,13,67.0,1,18,0.0,1,2,1
265,3,48,45,1,5,42.0,1,11,0.0,1,2,1
266,1,8,63,1,1,31.0,1,9,0.0,0,2,3
267,2,58,58,1,10,96.0,2,17,0.0,0,4,3
268,1,16,24,1,5,24.0,3,2,0.0,0,5,3
269,2,33,33,0,4,53.0,2,14,0.0,1,1,1
270,2,39,25,0,4,18.0,1,0,0.0,1,1,3
271,1,62,51,0,10,43.0,4,19,0.0,0,2,2
272,1,50,34,0,10,104.0,3,9,0.0,0,1,4
273,2,48,55,0,31,26.0,1,1,0.0,0,1,1
274,3,31,62,0,5,56.0,2,26,0.0,1,1,3
275,2,65,33,1,9,49.0,2,6,0.0,0,5,2
276,1,36,58,0,34,80.0,1,21,0.0,1,1,2
277,1,61,46,0,5,318.0,3,18,0.0,1,1,3
278,2,48,42,0,21,35.0,4,5,0.0,0,1,3
279,3,35,45,0,17,29.0,1,6,0.0,0,1,1
280,1,51,28,0,8,43.0,5,1,0.0,0,5,4
281,2,49,51,1,5,80.0,5,3,0.0,0,2,4
282,1,35,39,1,11,30.0,3,2,0.0,1,3,3
283,1,58,70,0,2,9.0,3,24,1.0,1,1,2
284,1,23,35,1,0,23.0,2,1,0.0,0,5,3
285,2,26,39,1,15,58.0,4,9,0.0,1,2,3
286,1,38,37,1,1,52.0,1,20,0.0,1,4,4
287,1,35,66,1,44,14.0,3,12,1.0,1,2,3
288,2,37,50,0,9,110.0,2,21,0.0,1,1,3
289,2,48,43,1,1,60.0,2,12,0.0,0,2,2
290,3,13,43,1,1,123.0,3,21,0.0,0,5,4
291,1,72,63,1,29,15.0,5,31,1.0,0,2,3
292,1,30,27,0,4,47.0,4,2,0.0,1,2,2
293,1,24,43,0,14,138.0,4,11,0.0,1,1,3
294,2,25,51,1,20,359.0,3,29,0.0,0,2,4
295,2,50,52,0,30,214.0,3,22,0.0,0,1,4
296,2,28,40,0,7,64.0,1,19,0.0,0,1,3
297,3,34,51,0,8,50.0,4,14,0.0,0,1,1
298,1,48,32,0,2,88.0,3,9,0.0,0,1,4
299,2,42,36,1,8,86.0,2,15,0.0,1,2,2
300,3,67,65,1,30,17.0,1,29,1.0,1,2,3
301,1,17,41,1,7,25.0,2,17,0.0,0,3,3
302,1,29,38,1,19,46.0,2,6,0.0,0,2,2
303,3,66,61,0,26,361.0,1,40,0.0,1,1,2
304,2,1,21,0,1,18.0,3,0,0.0,1,1,1
305,1,28,33,1,3,14.0,4,1,0.0,0,3,4
306,1,15,35,1,5,34.0,3,8,0.0,0,2,2
307,2,12,64,0,13,9.0,2,6,1.0,1,1,3
308,3,48,49,0,18,39.0,2,5,0.0,1,1,4
309,2,59,25,1,4,18.0,3,2,0.0,0,4,1
310,3,8,26,1,1,25.0,4,1,0.0,0,2,1
311,1,45,52,0,15,46.0,5,8,0.0,1,1,2
312,1,25,39,1,8,94.0,4,11,0.0,1,4,2
313,1,21,44,1,4,26.0,3,2,0.0,0,2,4
314,2,17,68,1,1,335.0,1,35,0.0,1,3,4
315,2,41,45,0,14,25.0,3,6,0.0,0,1,1
316,1,13,45,1,3,99.0,3,8,0.0,1,2,3
317,2,1,26,1,3,30.0,2,7,0.0,1,5,1
318,3,3,31,1,4,35.0,2,2,0.0,1,3,4
319,1,23,27,1,2,51.0,5,1,0.0,1,2,1
320,3,26,42,0,20,49.0,3,13,0.0,0,1,4
321,1,37,51,1,15,54.0,1,15,0.0,0,3,3
322,3,5,30,0,3,46.0,4,7,0.0,0,1,2
323,1,32,27,1,3,91.0,4,1,0.0,1,3,4
324,3,12,22,0,1,23.0,4,0,0.0,0,2,1
325,1,72,54,1,6,345.0,1,32,0.0,0,2,3
326,3,3,25,1,2,45.0,4,0,0.0,1,2,1
327,1,54,43,0,12,53.0,2,12,0.0,0,1,3
328,2,26,26,0,2,14.0,2,6,0.0,1,1,4
329,3,14,36,0,13,67.0,5,4,0.0,1,1,1
330,3,22,51,0,27,49.0,3,1,0.0,0,1,1
331,3,65,47,1,18,37.0,1,15,0.0,1,4,1
332,3,26,45,0,18,33.0,1,9,0.0,0,1,1
333,1,20,37,0,5,46.0,3,10,0.0,1,4,4
334,2,67,60,1,32,93.0,1,21,0.0,0,4,2
335,1,34,55,0,2,48.0,2,11,0.0,0,1,1
336,1,37,54,1,35,183.0,2,22,0.0,0,3,3
337,2,22,23,1,3,16.0,1,5,0.0,0,4,1
338,2,5,69,0,0,11.0,2,14,1.0,0,1,1
339,1,28,31,1,0,42.0,4,5,0.0,1,3,3
340,1,20,41,1,7,67.0,4,14,0.0,1,4,1
341,3,72,41,0,20,181.0,4,12,0.0,0,1,4
342,2,30,43,0,18,53.0,4,6,0.0,0,1,1
343,3,71,52,0,17,172.0,2,32,0.0,0,1,4
344,2,56,44,0,24,87.0,2,19,0.0,0,1,3
345,1,8,29,1,2,21.0,5,0,0.0,0,2,1
346,2,32,65,0,6,9.0,2,30,1.0,1,1,2
347,2,46,47,0,22,144.0,3,22,0.0,1,2,3
348,3,60,45,1,23,117.0,4,11,0.0,0,3,4
349,2,42,32,1,0,59.0,4,4,0.0,1,6,4
350,3,71,60,1,39,508.0,4,35,0.0,0,4,4
351,2,72,63,1,40,222.0,2,43,1.0,1,2,3
352,3,45,66,0,11,87.0,3,25,1.0,1,1,1
353,3,5,31,0,4,34.0,1,9,0.0,0,1,3
354,2,17,38,1,19,18.0,4,0,0.0,1,4,2
355,2,70,55,0,12,65.0,3,24,0.0,0,1,3
356,3,57,57,1,19,130.0,3,27,0.0,1,2,2
357,1,20,33,0,13,44.0,3,8,0.0,1,1,2
358,1,72,52,1,21,63.0,1,24,0.0,0,3,3
359,3,32,50,0,28,57.0,4,20,0.0,0,1,3
360,3,22,57,1,7,264.0,1,35,0.0,1,2,3
361,2,6,24,0,2,28.0,1,5,0.0,0,2,3
362,3,32,23,1,2,26.0,3,1,0.0,1,6,4
363,1,38,33,0,3,38.0,4,0,0.0,0,1,2
364,1,53,35,0,15,59.0,3,5,0.0,1,1,3
365,3,37,76,0,38,117.0,4,21,0.0,1,1,1
366,1,47,35,1,13,70.0,4,9,0.0,1,2,4
367,3,69,59,0,37,104.0,2,13,0.0,0,1,3
368,3,63,56,0,17,71.0,3,18,0.0,1,1,1
369,1,61,34,1,0,70.0,3,7,0.0,1,3,4
370,1,56,38,1,8,56.0,4,10,0.0,0,2,4
371,3,40,57,1,18,68.0,1,23,0.0,0,2,3
372,2,61,45,0,21,80.0,2,13,0.0,1,1,2
373,2,16,26,0,7,21.0,4,1,0.0,0,6,4
374,2,7,43,0,4,69.0,3,5,0.0,1,1,1
375,3,20,31,1,10,39.0,2,3,0.0,1,2,1
376,2,35,38,0,7,90.0,2,18,0.0,0,4,2
377,1,60,37,1,12,64.0,5,1,0.0,1,2,2
378,2,47,25,0,2,28.0,2,6,0.0,0,1,4
379,2,33,28,1,3,24.0,2,0,0.0,1,6,1
380,3,12,34,0,2,44.0,2,7,0.0,0,1,1
381,1,10,31,0,0,32.0,4,7,0.0,1,2,2
382,2,69,33,1,9,52.0,4,9,0.0,1,3,3
383,1,23,20,0,1,15.0,3,0,0.0,1,1,2
384,1,53,31,0,10,46.0,3,6,0.0,0,2,2
385,2,60,57,1,14,107.0,2,33,0.0,1,2,3
386,2,33,33,0,7,56.0,2,11,0.0,0,1,1
387,3,67,40,1,21,40.0,4,7,0.0,1,4,4
388,3,15,38,1,5,56.0,3,13,0.0,0,3,3
389,3,64,31,1,5,46.0,2,7,0.0,1,4,2
390,2,46,49,1,13,51.0,2,21,0.0,0,2,1
391,2,72,60,1,33,12.0,1,20,1.0,0,3,4
392,1,61,43,1,6,34.0,5,6,0.0,0,3,4
393,3,54,27,0,3,27.0,2,6,0.0,1,5,4
394,3,28,36,0,3,42.0,3,7,0.0,1,1,3
395,2,28,38,0,8,119.0,5,2,0.0,0,3,4
396,2,32,43,0,13,146.0,1,27,0.0,1,1,3
397,2,52,46,0,17,51.0,2,13,0.0,1,3,2
398,1,48,62,0,33,86.0,1,22,1.0,1,1,3
399,3,52,42,1,17,27.0,3,8,0.0,1,2,3
400,1,37,43,0,8,38.0,3,9,0.0,0,1,2
401,1,41,52,0,26,928.0,3,29,0.0,0,3,3
402,2,43,27,1,3,21.0,2,1,0.0,1,3,2
403,3,67,60,0,24,24.0,1,6,0.0,1,1,3
404,3,61,52,1,30,91.0,1,25,0.0,1,2,1
405,3,70,39,1,20,38.0,2,8,0.0,1,4,3
406,3,44,32,1,1,96.0,4,5,0.0,1,4,4
407,3,46,45,0,12,96.0,3,17,0.0,0,1,2
408,3,39,34,0,2,54.0,3,5,0.0,0,1,1
409,2,39,59,0,20,1668.0,4,27,0.0,1,1,2
410,2,50,29,1,10,53.0,4,0,0.0,1,4,4
411,3,5,31,0,1,21.0,3,1,0.0,1,2,1
412,2,10,34,0,1,52.0,5,3,0.0,1,1,2
413,1,72,69,0,45,17.0,3,36,1.0,1,1,2
414,2,68,60,0,40,262.0,2,39,0.0,1,1,3
415,3,58,28,0,5,34.0,5,1,0.0,1,1,2
416,3,18,44,1,10,107.0,1,19,0.0,1,7,1
417,1,65,45,1,25,67.0,5,13,0.0,1,2,3
418,3,8,45,0,1,37.0,4,0,0.0,0,1,2
419,2,1,20,0,1,21.0,2,0,0.0,1,2,1
420,3,42,58,0,7,22.0,1,4,0.0,1,1,2
421,1,4,25,1,3,71.0,3,3,0.0,1,5,1
422,3,17,35,0,4,77.0,3,8,0.0,1,1,3
423,2,8,24,1,1,18.0,4,0,0.0,1,5,4
424,1,49,37,1,17,50.0,2,12,0.0,1,2,2
425,1,56,46,1,21,33.0,4,7,0.0,0,2,2
426,1,62,57,1,21,94.0,1,22,0.0,0,2,4
427,2,42,57,1,25,209.0,1,40,0.0,1,4,1
428,1,13,32,0,7,31.0,4,5,0.0,0,2,3
429,1,69,46,1,18,66.0,2,19,0.0,0,4,2
430,2,45,59,0,14,51.0,1,15,0.0,0,2,1
431,2,66,42,1,18,118.0,2,20,0.0,0,2,2
432,2,15,35,0,10,25.0,2,3,0.0,0,1,1
433,1,41,44,1,1,59.0,3,21,0.0,1,3,2
434,2,11,20,0,1,20.0,2,0,0.0,1,1,4
435,3,45,30,1,0,63.0,5,4,0.0,0,4,4
436,1,52,62,0,23,36.0,4,17,0.0,0,1,1
437,1,42,56,0,24,72.0,4,18,0.0,1,1,4
438,2,48,35,0,11,50.0,1,16,0.0,0,3,3
439,3,4,31,0,5,39.0,2,5,0.0,0,2,4
440,3,53,64,1,10,54.0,2,20,0.0,1,2,4
441,3,1,59,0,4,9.0,1,4,1.0,0,1,3
442,3,19,30,1,10,33.0,4,1,0.0,0,3,4
443,2,33,30,0,11,28.0,1,9,0.0,0,1,1
444,3,42,36,1,14,44.0,2,11,0.0,0,3,3
445,1,60,32,0,12,34.0,4,4,0.0,1,2,2
446,2,57,51,1,7,68.0,4,18,0.0,1,3,3
447,1,64,39,0,5,37.0,1,9,0.0,0,1,1
448,2,28,20,1,1,18.0,3,0,0.0,0,3,4
449,1,29,35,1,10,55.0,2,7,0.0,0,4,3
450,1,46,31,1,12,21.0,1,5,0.0,0,5,3
451,1,22,41,1,9,29.0,3,11,0.0,0,4,1
452,2,10,56,0,26,9.0,2,6,1.0,0,2,1
453,3,50,41,0,16,138.0,2,18,0.0,1,1,2
454,1,55,65,0,34,28.0,4,12,1.0,1,1,4
455,2,15,54,0,7,62.0,1,11,0.0,0,1,1
456,1,31,32,1,13,37.0,3,8,0.0,1,3,4
457,3,5,44,0,5,83.0,1,16,0.0,1,1,2
458,2,69,63,0,28,168.0,1,43,0.0,1,2,3
459,2,26,27,1,4,33.0,4,1,0.0,0,6,4
460,3,10,33,1,2,66.0,3,9,0.0,1,4,1
461,1,26,30,0,9,18.0,4,1,0.0,0,3,4
462,3,25,30,0,0,20.0,1,4,0.0,1,1,3
463,3,30,23,1,4,19.0,3,1,0.0,0,4,2
